time,text,sentiment
2020-07-18 13:33:30,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:30,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:29,b'RT @cathponeill: A special message from @LaraLeaTrump \xe2\x80\x94 \xe2\x80\x9cPresident Donald J. Trump\xe2\x80\x99s tough stance on border security prevents vulnerable wo\xe2\x80\xa6',negative
2020-07-18 13:33:29,"b""RT @SenDuckworth: Three weeks. \n\nIt's been three weeks since the American people learned Putin reportedly offered bounties for the killing\xe2\x80\xa6""",neutral
2020-07-18 13:33:28,b'RT @davidhogg111: @NRA @NRAPVF @realDonaldTrump Rt / like this comment if this is just one more reason why you\xe2\x80\x99re voting against Donald Tru\xe2\x80\xa6',positive
2020-07-18 13:33:28,b'RT @PalmerReport: Donald Trump is a threat to national security.',neutral
2020-07-18 13:33:28,"b'RT @donwinslow: If you want to know why @realDonaldTrump has been silent on @repjohnlewis death, look no further than this remarkable video\xe2\x80\xa6'",positive
2020-07-18 13:33:28,"b'RT @donwinslow: If you want to know why @realDonaldTrump has been silent on @repjohnlewis death, look no further than this remarkable video\xe2\x80\xa6'",positive
2020-07-18 13:33:27,b'RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY',positive
2020-07-18 13:33:27,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:27,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:26,b'RT @pewresearch: Donald Trump has now appointed 24% of all active federal judges in the United States. For more on how Trump compares with\xe2\x80\xa6',positive
2020-07-18 13:33:25,b'RT @pewresearch: Donald Trump has now appointed 24% of all active federal judges in the United States. For more on how Trump compares with\xe2\x80\xa6',positive
2020-07-18 13:33:25,"b'RT @StevenBritt13: @EricTrump Just a reminder, under Donald Trump your chances of dying a premature death are 100% higher. https://t.co/CXQ\xe2\x80\xa6'",positive
2020-07-18 13:33:24,"b'RT @BandyXLee1: What Donald Trump is doing in Portland is a trial balloon (or, in psychological terms, \xe2\x80\x9ctesting limits\xe2\x80\x9d).  He may believe O\xe2\x80\xa6'",neutral
2020-07-18 13:33:24,"b'RT @revistaforum: Jorge Arreaza comentou v\xc3\xaddeo onde o almirante Craig Faller, chefe do Comando Sul, apresenta a Donald Trump um general bra\xe2\x80\xa6'",positive
2020-07-18 13:33:24,b'RT @AyannaPressley: Remember when Donald J. Trump was impeached by the United States House of Representatives?',neutral
2020-07-18 13:33:24,b'RT @TheDailyEdge: \xe2\x80\x98Donald Trump\xe2\x80\x99s secret police\xe2\x80\x99: Portland fears a federal \xe2\x80\x98occupying army\xe2\x80\x99 violating citizens\xe2\x80\x99 constitutional rights\n #Por\xe2\x80\xa6',negative
2020-07-18 13:33:24,"b'RT @BoycottUtah: It is Saturday, July 18, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist D\xe2\x80\xa6'",positive
2020-07-18 13:33:23,b'A \xe2\x80\x9cliving statue\xe2\x80\x9d titled \xe2\x80\x9cThe Poser\xe2\x80\x9d was put up in D.C.\xe2\x80\x99s Freedom Plaza on Friday in protest to President Donald Tr\xe2\x80\xa6 https://t.co/fzsjMPBTmb',neutral
2020-07-18 13:33:23,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:33:23,"b'RT @MiaFarrow: Donald Trump\xe2\x80\x99s silence is fitting. He  is not worthy to utter the name of John Lewis- a man who embodied courage, honor, dec\xe2\x80\xa6'",positive
2020-07-18 13:33:22,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:22,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:22,b'@jumoffit @weijia Exactly. Why is it news that Donald Trump doesn\xe2\x80\x99t care? I\xe2\x80\x99m not sure why the media even pretends he is a normal president.',positive
2020-07-18 13:33:21,"b""@TimMurtaugh @realDonaldTrump So you're saying that what Donald Trump, a famous pathological liar and Joe Biden's p\xe2\x80\xa6 https://t.co/CP3NiqwVZ7""",positive
2020-07-18 13:33:21,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:21,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:20,"b'RT @MaryVought: As the mother of a daughter with a disability, there is no greater honor than to be able to advocate for numerous individua\xe2\x80\xa6'",positive
2020-07-18 13:33:20,"b'RT @MiaFarrow: Donald Trump\xe2\x80\x99s silence is fitting. He  is not worthy to utter the name of John Lewis- a man who embodied courage, honor, dec\xe2\x80\xa6'",positive
